date,nav
2012/03/13,128.14
2012/03/14,128.04
2012/03/15,128.70
2012/03/16,128.88
2012/03/19,129.42
2012/03/20,129.06
2012/03/21,128.86
2012/03/22,127.86
2012/03/23,128.36
2012/03/26,129.52
2012/03/27,129.16
2012/03/28,128.54
2012/03/29,128.32
2012/03/30,128.74
2012/04/02,129.78
2012/04/03,129.28
2012/04/04,127.92
2012/04/05,127.88
2012/04/09,126.46
2012/04/10,124.26
2012/04/11,125.28
2012/04/12,127.00
2012/04/13,125.48
2012/04/16,125.34
2012/04/17,127.26
2012/04/18,126.82
2012/04/19,126.00
2012/04/20,126.20
2012/04/23,125.12
2012/04/24,125.58
2012/04/25,127.34
2012/04/26,128.22
2012/04/27,128.48
2012/04/30,127.92
2012/05/01,128.76
2012/05/02,128.36
2012/05/03,127.42
2012/05/04,125.34
2012/05/07,125.44
2012/05/08,124.90
2012/05/09,124.20
2012/05/10,124.42
2012/05/11,124.02
2012/05/14,122.70
2012/05/15,122.02
2012/05/16,121.50
2012/05/17,119.66
2012/05/18,118.72
2012/05/21,120.72
2012/05/22,120.98
2012/05/23,120.98
2012/05/24,121.20
2012/05/25,120.92
2012/05/29,122.30
2012/05/30,120.54
2012/05/31,120.24
2012/06/01,117.30
2012/06/04,117.26
2012/06/05,117.94
2012/06/06,120.76
2012/06/07,120.74
2012/06/08,121.74
2012/06/11,120.26
2012/06/12,121.66
2012/06/13,120.86
2012/06/14,122.20
2012/06/15,123.28
2012/06/18,123.54
2012/06/19,124.80
2012/06/20,124.60
2012/06/21,121.86
2012/06/22,122.74
2012/06/25,120.16
2012/06/26,120.74
2012/06/27,121.82
2012/06/28,121.54
2012/06/29,124.56
2012/07/02,124.90
2012/07/03,125.72
2012/07/05,125.18
2012/07/06,124.02
2012/07/09,123.86
2012/07/10,122.72
2012/07/11,122.74
2012/07/12,122.10
2012/07/13,124.18
2012/07/16,123.90
2012/07/17,124.78
2012/07/18,125.68
2012/07/19,126.00
2012/07/20,124.84
2012/07/23,123.60
2012/07/24,122.62
2012/07/25,122.54
2012/07/26,124.54
2012/07/27,126.94
2012/07/30,126.88
2012/07/31,126.06
2012/08/01,125.92
2012/08/02,125.04
2012/08/03,127.48
2012/08/06,127.82
2012/08/07,128.40
2012/08/08,128.54
2012/08/09,128.68
2012/08/10,128.88
2012/08/13,128.78
2012/08/14,128.84
2012/08/15,128.98
2012/08/16,129.86
2012/08/17,130.16
2012/08/20,130.12
2012/08/21,129.72
2012/08/22,129.74
2012/08/23,128.72
2012/08/24,129.52
2012/08/27,129.52
2012/08/28,129.40
2012/08/29,129.52
2012/08/30,128.54
2012/08/31,129.22
2012/09/04,128.88
2012/09/05,128.88
2012/09/06,131.56
2012/09/07,132.10
2012/09/10,131.32
2012/09/11,131.68
2012/09/12,132.10
2012/09/13,134.20
2012/09/14,134.76
2012/09/17,134.36
2012/09/18,134.22
2012/09/19,134.32
2012/09/20,134.30
2012/09/21,134.22
2012/09/24,133.36
2012/09/25,132.00
2012/09/26,131.16
2012/09/27,132.44
2012/09/28,131.84
2012/10/01,132.08
2012/10/02,132.26
2012/10/03,132.80
2012/10/04,133.82
2012/10/05,133.78
2012/10/08,133.38
2012/10/09,132.08
2012/10/10,131.18
2012/10/11,131.26
2012/10/12,130.80
2012/10/15,131.90
2012/10/16,133.24
2012/10/17,133.86
2012/10/18,133.52
2012/10/19,131.24
2012/10/22,131.32
2012/10/23,129.40
2012/10/24,129.12
2012/10/25,129.48
2012/10/26,129.38
2012/10/31,129.26
2012/11/01,130.78
2012/11/02,129.60
2012/11/05,129.90
2012/11/06,130.86
2012/11/07,128.00
2012/11/08,126.30
2012/11/09,126.44
2012/11/12,126.62
2012/11/13,126.16
2012/11/14,124.62
2012/11/15,124.14
2012/11/16,124.78
2012/11/19,127.32
2012/11/20,127.46
2012/11/21,127.74
2012/11/23,129.36
2012/11/26,129.20
2012/11/27,128.58
2012/11/28,129.54
2012/11/29,130.12
2012/11/30,130.00
2012/12/03,129.54
2012/12/04,129.30
2012/12/05,129.58
2012/12/06,129.98
2012/12/07,130.38
2012/12/10,130.46
2012/12/11,131.30
2012/12/12,131.40
2012/12/13,130.60
2012/12/14,130.18
2012/12/17,131.74
2012/12/18,133.08
2012/12/19,132.10
2012/12/20,132.92
2012/12/21,131.68
2012/12/24,130.36
2012/12/26,129.74
2012/12/27,129.62
2012/12/28,128.18
2012/12/31,130.38
