date,nav
2020-12-31,87.91
2021-01-29,89.02
2021-02-26,98.80
2021-03-31,101.73
2021-04-29,110.72
2021-05-31,101.95
2021-06-30,110.29
2021-07-30,118.29
2021-08-31,120.45
2021-09-30,122.68
2021-10-29,135.56
2021-11-30,138.94
2021-12-30,147.67
2022-01-26,129.95
2022-02-25,137.00
2022-03-31,137.82
2022-04-29,116.66
2022-05-31,123.26
2022-06-30,103.54
2022-07-29,104.28
2022-08-31,108.16
2022-09-30,96.60
2022-10-31,93.86
2022-11-30,109.26
2022-12-30,100.26
2023-01-31,109.48
2023-02-24,116.82
2023-03-31,122.41
2023-04-28,117.06
2023-05-31,129.90
2023-06-30,141.21
2023-07-28,160.23
2023-08-31,158.96
2023-09-28,156.98
2023-10-31,149.53
2023-11-30,167.77
2023-12-29,172.92
2024-01-31,181.77
2024-02-29,193.52
2024-03-29,196.26
2024-04-30,192.40
2024-05-31,199.88
2024-06-28,221.98
2024-07-31,205.51
2024-08-30,218.27
2024-09-30,208.59
2024-10-30,218.30
2024-11-29,215.21
2024-12-31,229.24
2025-01-22,227.99
2025-02-27,220.51
2025-03-31,199.08
2025-04-30,183.88
2025-05-29,204.80
2025-06-30,220.54
2025-07-31,236.88
2025-08-29,267.33
2025-09-30,281.65
2025-10-31,327.67
2025-11-28,351.12
2025-12-31,387.53
2026-01-30,451.00
2026-02-26,493.76
2026-03-31,486.98
2026-04-30,684.22
2026-05-29,804.97
2026-06-18,863.72
